registerAlias,fieldName,descripton,positionStart,positionEnd,positionLength,picture,defaultValue
PIX-HED-REM,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO HEADER,1,1,1,9,0
PIX-HED-REM,TIPODEOPERACAO,TIPO DE OPERAÇÃO - REMESSA,2,2,1,9,1
PIX-HED-REM,LITERALDEREMESSA,IDENTIFICAÇÃO POR EXTENSO DO MOVIMENTO,3,9,7,X,REMESSA
PIX-HED-REM,CODIGODOSERVICO,IDENTIFICAÇÃO DO TIPO DE SERVIÇO,10,11,2,9,02
PIX-HED-REM,LITERALDESERVICO,IDENTIFICAÇÃO POR EXTENSO DO TIPO DE SERVIÇO,12,26,15,X,PIX
PIX-HED-REM,ISPBPARTICIPANTE,PSP DO USUARIO RECEBEDOR,27,34,8,X,
PIX-HED-REM,TIPOPESSOARECEBEDOR,TIPO DE PESSOA RECEBEDOR,35,36,2,9,
PIX-HED-REM,CPFCNPJ,CPF CNPJ DO USUARIO RECEBEDOR,37,50,14,9,
PIX-HED-REM,AGENCIA,AGÊNCIA DO USUARIO RECEBEDOR,51,54,4,9,
PIX-HED-REM,CONTA,CONTA USUÁRIO RECEBEDOR,55,74,20,9,
PIX-HED-REM,TIPOCONTA,TIPO CONTA USUÁRIO RECEBEDOR,75,78,4,X,
PIX-HED-REM,CHAVEPIX,CHAVE PIX,79,155,77,X,
PIX-HED-REM,DATADEGERACAO,DATA DE GERAÇÃO DO ARQUIVO,156,163,8,9,
PIX-HED-REM,CODIGODOCONVENIO,CÓDIGO DO CONVENIO,164,193,30,X,
PIX-HED-REM,EXCLUSIVOPSPRECEBEDOR,EXCLUSIVO PSP RECEBEDOR,194,253,60,X,
PIX-HED-REM,NOMEDORECEBEDOR,NOME FANTASIA/RAZÃO SOCIAL DO RECEBEDOR,254,353,100,X,
PIX-HED-REM,BRANCOS,BRANCOS,354,731,378,X,
PIX-HED-REM,NUMEROSEQUENCIALDAREMESSA,NÚMERO SEQUENCIAL DA REMESSA DO ARQUIVO,732,741,10,9,
PIX-HED-REM,VERSAODOARQUIVO,VERSAO DO LAYOUT DO ARQUIVO,742,744,3,9,002
PIX-HED-REM,NUMEROSEQUENCIALDOREGISTRO,NÚMERO SEQUENCIAL DO REGISTRO,745,750,6,9,
PIX-DET-REM,TIPODEREGISTRO,IDENTIFICAÇÃO DO REGISTRO TRANSAÇÃO,1,1,1,9,1
PIX-DET-REM,IDENTIFICADOR,TRANSACTION ID (TXID),2,36,35,X,
PIX-DET-REM,TIPODEPESSOARECEBEDOR,TIPO DE PESSOA RECEBEDOR,37,38,2,9,
PIX-DET-REM,CPFCNPJ,CPF CNPJ DO USUARIO RECEBEDOR,39,52,14,9,
PIX-DET-REM,AGENCIA,AGÊNCIA DO USUARIO RECEBEDOR,53,56,4,9,
PIX-DET-REM,CONTA,CONTA USUÁRIO RECEBEDOR,57,76,20,9,
PIX-DET-REM,TIPO,TIPO CONTA USUÁRIO RECEBEDOR,77,80,4,X,
PIX-DET-REM,CHAVEPIX,CHAVE PIX,81,157,77,X,
PIX-DET-REM,TIPOCOBRANCA,TIPO COBRANÇA,158,158,1,X,
PIX-DET-REM,CODDEOCORRENCIA,IDENTIFICAÇÃO DA OCORRÊNCIA,159,160,2,9,
PIX-DET-REM,TIMESTAMPEXPIRACAO,TEMPO DE EXPIRAÇÃO DO QR CODE,161,174,14,9,
PIX-DET-REM,DATADEVENCIMENTO,DATA DE VENCIMENTO DO PAGAMENTO,175,182,8,9,
PIX-DET-REM,VALIDADEAPOSVENCIMENTO,VALIDADE DO QR CODE APÓS O VENCIMENTO,183,186,4,9,
